numero de sequencia,tempo inicial,tempo final,tamanho
602,1742170866594298800,1742170866594298800,8
603,1742170866596069300,1742170866596069300,8
604,1742170866597840200,1742170866597840200,8
605,1742170866599357700,1742170866599357700,8
606,1742170866601046700,1742170866601046700,8
607,1742170866602863300,1742170866604521200,8
608,1742170866604521200,1742170866604521200,8
609,1742170866606050800,1742170866606050800,8
610,1742170866607746200,1742170866607746200,8
611,1742170866609295100,1742170866611246400,8
612,1742170866610706400,1742170866612670800,8
613,1742170866612254100,1742170866612670800,8
614,1742170866613684800,1742170866616099700,8
615,1742170866615705000,1742170866616099700,8
616,1742170866617109300,1742170866620069000,8
617,1742170866619135800,1742170866622090500,8
618,1742170866621091200,1742170866623098000,8
619,1742170866623098000,1742170866623098000,8
620,1742170866624834200,1742170866624834200,8
621,1742170866626375000,1742170866626375000,8
622,1742170866628189400,1742170866628189400,8
623,1742170866629716400,1742170866629716400,8
624,1742170866631441100,1742170866631441100,8
625,1742170866633195100,1742170866633195100,8
626,1742170866634940000,1742170866636985300,8
627,1742170866636985300,1742170866638001300,8
628,1742170866638995500,1742170866638995500,8
629,1742170866640718800,1742170866640718800,8
630,1742170866642511700,1742170866642511700,8
631,1742170866644094400,1742170866644094400,8
632,1742170866645826100,1742170866645826100,8
633,1742170866647536400,1742170866647536400,8
634,1742170866649141300,1742170866649141300,8
635,1742170866650834400,1742170866650834400,8
636,1742170866652572500,1742170866654483400,8
637,1742170866654483400,1742170866657073600,8
638,1742170866656529800,1742170866657540600,8
639,1742170866658539600,1742170866659047900,8
640,1742170866660062100,1742170866661334300,8
641,1742170866662336300,1742170866662336300,8
642,1742170866664099500,1742170866664099500,8
643,1742170866665795600,1742170866665795600,8
644,1742170866667508200,1742170866667508200,8
645,1742170866669032500,1742170866671597500,8
646,1742170866671004200,1742170866672603500,8
647,1742170866672603500,1742170866672603500,8
648,1742170866674340300,1742170866674340300,8
649,1742170866676141300,1742170866676141300,8
650,1742170866677893400,1742170866677893400,8
651,1742170866679409700,1742170866679409700,8
652,1742170866681114300,1742170866681114300,8
653,1742170866682875300,1742170866682875300,8
654,1742170866684598300,1742170866686136700,8
655,1742170866687148700,1742170866688162400,8
656,1742170866689670900,1742170866689670900,8
657,1742170866691428600,1742170866691428600,8
658,1742170866693172000,1742170866693172000,8
659,1742170866694898800,1742170866694898800,8
660,1742170866696653800,1742170866696653800,8
661,1742170866698396700,1742170866698973400,8
662,1742170866699981600,1742170866700493200,8
663,1742170866703183300,1742170866704786100,8
664,1742170866704786100,1742170866706320800,8
665,1742170866707327700,1742170866709953000,8
666,1742170866709390800,1742170866711493900,8
667,1742170866710967200,1742170866711977700,8
668,1742170866712977300,1742170866713484800,8
669,1742170866714490600,1742170866714490600,8
670,1742170866716034400,1742170866716034400,8
671,1742170866717766600,1742170866719938500,8
672,1742170866719298700,1742170866721601100,8
673,1742170866720954100,1742170866721601100,8
674,1742170866722609000,1742170866722609000,8
675,1742170866724299100,1742170866724299100,8
676,1742170866726013100,1742170866726013100,8
677,1742170866727725500,1742170866727725500,8
678,1742170866729330700,1742170866729330700,8
679,1742170866731018500,1742170866731018500,8
680,1742170866732745900,1742170866732745900,8
681,1742170866734553000,1742170866736600500,8
682,1742170866736600500,1742170866738612600,8
683,1742170866738612600,1742170866739120200,8
684,1742170866740126700,1742170866740126700,8
685,1742170866741844200,1742170866741844200,8
686,1742170866743609000,1742170866744164400,8
687,1742170866745171500,1742170866745171500,8
688,1742170866746874700,1742170866746874700,8
689,1742170866748637600,1742170866749178300,8
690,1742170866750916800,1742170866753436700,8
691,1742170866752664300,1742170866756001800,8
692,1742170866754460000,1742170866757016500,8
693,1742170866757016500,1742170866757016500,8
